Sentence,Error Explanation
"He should of reviewed the project details more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student was given a new assignment.","Correct sentence."
"None of the feedback was helpful.","Correct sentence."
"He don’t understand the new procedures.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each report was reviewed thoroughly.","Correct sentence."
"None of the feedback were relevant.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None of the feedback'."
"He should of reviewed the guidelines more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student was given a new book.","Correct sentence."
"None of the feedback was useful.","Correct sentence."
"He don’t understand the new system.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each of the reports was reviewed thoroughly.","Correct sentence."
"None of the feedback were helpful.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None of the feedback'."
"He should of reviewed the project details earlier.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student was given a new textbook.","Correct sentence."
"None of the feedback was relevant.","Correct sentence."
"He don’t understand the significance of the new procedures.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each report was reviewed thoroughly.","Correct sentence."
"None of the feedback was helpful.","Correct sentence."
"He should of reviewed the project details more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student was given detailed feedback.","Correct sentence."
"None of the feedback was useful.","Correct sentence."
"He don’t understand the new procedures.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each of the reports was reviewed thoroughly.","Correct sentence."
"None of the feedback were relevant.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None of the feedback'."
"He should of reviewed the guidelines earlier.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each report was reviewed thoroughly.","Correct sentence."
"None of the feedback was helpful.","Correct sentence."
"He don’t understand the new system.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each student was given a new textbook.","Correct sentence."
"None of the feedback were relevant.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None of the feedback'."
"He should of reviewed the project details more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the tasks was completed on time.","Correct sentence."
"None of the feedback was useful.","Correct sentence."
"He don’t understand the new system.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each report was reviewed thoroughly.","Correct sentence."
"None of the feedback was helpful.","Correct sentence."
"He should of reviewed the guidelines more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student was given detailed feedback.","Correct sentence."
"None of the feedback was useful.","Correct sentence."
"He don’t understand the significance of the new guidelines.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each of the reports was reviewed thoroughly.","Correct sentence."
"None of the feedback was relevant.","Correct sentence."
"He should of reviewed the project plan more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student was given a new assignment.","Correct sentence."
"None of the feedback was helpful.","Correct sentence."
"He don’t understand the new system.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each report was reviewed thoroughly.","Correct sentence."
"None of the feedback were relevant.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None of the feedback'."
"He should of reviewed the guidelines more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the tasks was completed on time.","Correct sentence."
"None of the feedback was useful.","Correct sentence."
"He don’t understand the significance of the new procedures.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each report was reviewed thoroughly.","Correct sentence."
"None of the feedback were relevant.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None of the feedback'."
"He should of reviewed the guidelines more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student was given detailed feedback.","Correct sentence."
"None of the feedback was useful.","Correct sentence."
"He don’t understand the new procedures.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each report was reviewed thoroughly.","Correct sentence."
"None of the feedback were helpful.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None of the feedback'."
"He should of reviewed the project details more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student was given a new textbook.","Correct sentence."
"None of the feedback was relevant.","Correct sentence."
"He don’t understand the significance of the new guidelines.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each of the tasks was completed on time.","Correct sentence."
"None of the feedback were relevant.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None of the feedback'."
"He should of reviewed the project plan more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each report was reviewed thoroughly.","Correct sentence."
"None of the feedback was helpful.","Correct sentence."
"He don’t understand the new system.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each student was given detailed feedback.","Correct sentence."
"None of the feedback was useful.","Correct sentence."
"He should of reviewed the guidelines more thoroughly.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the reports was reviewed thoroughly.","Correct sentence."
"None of the feedback was relevant.","Correct sentence."
"He don’t understand the significance of the new procedures.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
